Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
30-12-2021;1155,00;1155,50;1167,00;1169,50;1151,00;1151,00;1154,907;115422;133318183,75;1457
29-12-2021;1171,50;1172,50;1168,50;1175,00;1165,00;1169,50;1170,582;81235;95092944;1613
28-12-2021;1164,50;1166,50;1164,50;1174,50;1162,50;1166,00;1169,221;76636;89609439;1148
27-12-2021;1159,50;1160,50;1146,00;1166,50;1142,00;1161,00;1158,864;64190;74371883,25;1106
23-12-2021;1149,50;1151,00;1150,00;1152,50;1139,00;1145,50;1145,447;113673;130204113;2145
22-12-2021;1140,00;1140,50;1116,00;1147,50;1108,50;1147,50;1134,579;194110;220193050,25;4364
21-12-2021;1099,00;1099,50;1099,00;1103,50;1091,50;1103,50;1100,497;194973;214543157,25;2816
20-12-2021;1092,50;1094,00;1083,00;1095,00;1070,50;1090,50;1088,464;183962;200222335,25;3985
17-12-2021;1096,00;1097,00;1097,00;1098,00;1082,50;1097,50;1095,214;285860;313044175,5;3351
16-12-2021;1091,50;1092,50;1097,00;1100,50;1081,00;1095,50;1091,908;254414;277784805,75;4022
15-12-2021;1084,00;1084,50;1056,00;1086,50;1056,00;1086,50;1081,021;268576;290287099,5;4011
14-12-2021;1055,50;1057,50;1069,50;1074,50;1050,50;1056,00;1058,745;180880;191517919;2897
13-12-2021;1069,50;1070,50;1070,50;1076,50;1063,50;1068,50;1069,58;143541;153535431;2984
10-12-2021;1068,00;1068,50;1075,50;1075,50;1047,50;1070,50;1065,663;159876;170348150,18;2938
09-12-2021;1077,00;1077,50;1079,50;1088,50;1075,00;1077,50;1078,341;114506;123477953,25;1952
08-12-2021;1073,50;1074,50;1081,00;1096,00;1072,50;1072,50;1079,138;192832;208112012;3113
07-12-2021;1084,00;1085,00;1060,00;1085,00;1060,00;1082,50;1079,352;183792;198375925;3243
06-12-2021;1052,50;1053,50;1058,00;1065,50;1044,50;1053,00;1054,03;190639;200945959,25;3710
03-12-2021;1055,00;1055,50;1053,50;1073,50;1043,50;1053,50;1057,615;194626;205862880,75;4321
02-12-2021;1064,50;1065,50;1085,50;1091,50;1060,00;1066,50;1069,061;204552;218689228,25;3872
01-12-2021;1090,00;1091,00;1080,00;1091,50;1061,00;1086,50;1080,206;222023;239820481,25;4463
30-11-2021;1075,00;1076,50;1068,50;1084,00;1054,00;1073,00;1072,614;590277;633137292,75;4751
29-11-2021;1081,00;1081,50;1097,00;1107,50;1074,50;1074,50;1080,151;215250;232508511,75;3477
