Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
08-06-2022;823,60;823,80;815,00;829,60;813,60;825,80;823,078;193446;159159688,1;3568
07-06-2022;813,00;814,00;808,60;820,20;800,40;812,40;812,537;220053;178794414,2;3570
03-06-2022;810,80;811,20;814,80;819,80;808,00;810,00;812,95;131278;106727265,5;2608
02-06-2022;809,00;809,80;815,60;815,60;798,60;808,00;806,73;233183;188109243,4;3783
01-06-2022;815,80;816,40;824,20;832,00;809,20;815,60;817,993;313095;256114842,8;6472
31-05-2022;829,40;830,00;848,60;848,60;824,20;824,20;826,341;1722831;1423770021,5;8008
30-05-2022;847,00;847,40;813,80;854,00;813,80;851,80;840,438;433864;364781843;6285
25-05-2022;798,80;799,60;793,00;807,60;785,60;801,60;798,104;371794;296826373,1;5547
24-05-2022;791,80;793,00;820,60;822,20;789,20;796,60;803,643;371917;298841606,2;6268
23-05-2022;828,00;829,40;860,20;860,80;826,20;826,60;837,67;310011;259599459,2;5119
20-05-2022;852,40;854,00;840,00;859,20;826,40;853,40;848,617;311999;264781402,5;5012
19-05-2022;838,20;839,20;853,00;854,80;822,80;837,80;837,565;327509;274278045,84;5159
18-05-2022;862,40;864,20;865,20;873,00;853,80;862,00;862,646;280500;241989204,6;5276
17-05-2022;866,00;867,00;863,20;873,60;850,00;865,00;863,036;605108;521324087,6;5787
16-05-2022;858,40;859,80;847,20;875,00;846,20;859,20;861,713;471252;406199636,7;10566
12-05-2022;852,60;853,40;855,00;856,80;836,80;851,00;848,283;288926;245098838;5944
11-05-2022;857,20;858,20;851,00;867,20;848,80;859,60;857,09;276779;237221474,4;5522
10-05-2022;849,20;849,60;849,80;852,40;835,00;846,40;846,187;280074;236993177;5741
09-05-2022;855,40;856,20;889,00;901,40;850,60;850,60;864,447;247734;214236975,7;4827
06-05-2022;904,80;907,20;940,00;947,00;893,60;899,40;907,292;453401;411398603,3;7056
05-05-2022;951,40;954,20;1015,50;1025,00;942,00;950,00;967,088;439869;425572925,7;7721
04-05-2022;1005,00;1005,50;1016,00;1017,50;995,20;1005,50;1004,866;190869;191784507,85;4109
03-05-2022;1015,50;1018,00;982,20;1018,50;969,20;1013,50;1005,388;521824;524720723,13;7952
02-05-2022;974,20;975,40;955,60;975,40;862,00;975,00;958,461;285169;273312250,4;4123
29-04-2022;960,60;961,40;982,00;984,80;958,40;959,00;963,139;317344;305705659,6;4433
28-04-2022;971,60;972,20;956,80;981,40;956,00;972,40;968,558;212590;205897342,6;4066
27-04-2022;957,60;959,00;941,80;966,80;941,80;958,60;958,023;202564;194052407;4076
26-04-2022;949,80;950,60;1007,00;1007,00;948,00;949,60;960,358;252810;242933297,6;4557
25-04-2022;1002,50;1003,50;999,40;1013,50;990,60;1001,50;1000,347;150324;150370142,55;2932
22-04-2022;1023,50;1024,00;1025,00;1043,00;1020,50;1025,00;1028,088;159723;164230638,75;3063
21-04-2022;1030,00;1031,00;1064,50;1068,50;1028,00;1028,00;1041,622;254494;265097964,25;3707
20-04-2022;1066,50;1067,50;1080,00;1080,00;1060,00;1066,00;1068,616;127834;136613234,75;2668
19-04-2022;1085,00;1086,00;1069,00;1086,50;1046,00;1082,50;1072,348;262141;281070205,5;5122
13-04-2022;1058,00;1059,00;1081,50;1083,50;1058,50;1066,50;1066,65;203310;216860253,5;3401
12-04-2022;1065,50;1067,50;1073,00;1090,50;1066,00;1073,00;1075,287;192991;207539515,25;3375
11-04-2022;1070,00;1071,50;1083,50;1094,00;1067,00;1075,50;1075,683;256363;275773786,75;3478
08-04-2022;1082,00;1083,00;1092,50;1096,50;1059,50;1084,00;1077,075;166464;179268441,25;2442
07-04-2022;1088,50;1090,00;1076,00;1093,00;1072,50;1086,00;1083,318;201704;218508760,5;3616
06-04-2022;1072,00;1073,00;1072,00;1082,00;1060,00;1073,50;1074,614;245893;264246596,74;4424
